"species","ecomorph","AVG.SVL","AVG.femur","AVG.tibia"
"ahli","TG",4.039125443,2.741377514,2.686031787
"allogus","TG",4.040138442,2.739174801,2.684476261
"bremeri","TG",4.113370744,2.66867392,2.604416589
"confusus","TG",3.938442349,2.571411946,2.505059356
"guafe","TG",3.87745744,2.503789737,2.482821143
"homolechis","TG",4.032805981,2.639128756,2.568404919
"imias","TG",4.099687407,2.797890905,2.767486442
"jubar","TG",3.952604971,2.549380065,2.503755663
"mestrei","TG",3.987147344,2.671386217,2.600734914
"quadriocellifer","TG",3.901619072,2.499487333,2.459268278
"rubribarbus","TG",4.078469213,2.749192144,2.72392355
"sagrei","TG",4.067161768,2.631744945,2.569936899
"lineatopus","TG",4.128611788,2.795043059,2.755251803
"cooki","TG",4.091535064,2.737609003,2.666649335
"cristatellus","TG",4.189820018,2.761504795,2.770256459
"gundlachi","TG",4.18810472,2.878761408,2.847876554
"grahami","TC",4.154274265,2.740840024,2.676903472
"opalinus","TC",3.838376465,2.378434405,2.326496913
"evermanni","TC",4.165605231,2.701025586,2.676903472
"stratulus","TC",3.869880695,2.329875953,2.32971376
"garmani","CG",4.769473237,3.337496605,3.231594597
"valencienni","TW",4.321524401,2.69934576,2.540420193
"ophiolepis","GB",3.637962029,2.067947162,2.032275059
"krugi","GB",3.886500048,2.545217497,2.456335693
"poncensis","GB",3.820377531,2.266809866,2.285584251
"pulchellus","GB",3.799022266,2.328374665,2.257326187
"brevirostris","T",3.874154977,2.515920703,2.431769551
"caudalis","T",3.911742966,2.477882035,2.44182516
"distichus","T",3.928795837,2.549445171,2.52801175
"marron","T",3.831810283,2.464703942,2.401343865
"websteri","T",3.916546094,2.463285704,2.419182241
